Designator,Mid X,Mid Y,Rotation,Layer
_14,118.710926,-67.0209,0.0,top
_13,115.410926,-65.5209,0.0,top
_12,113.383,-84.2352,0.0,top
_11,72.9679,-106.1588,270.0,top
_10,115.360926,-67.0209,0.0,top
_9,69.4429,-99.1588,270.0,top
_8,71.2679,-99.1588,270.0,top
_7,113.37575,-86.05635,270.0,top
_6,120.535926,-67.0209,0.0,top
_5,71.2429,-106.1588,270.0,top
_4,113.37575,-87.19135,270.0,top
_3,69.4679,-106.1588,270.0,top
_2,67.7429,-106.1588,270.0,top
,117.185926,-67.0209,0.0,top
C15,110.8684,-84.794,180.0,top
C16,114.315,-94.2477,0.0,top
C21,108.6586,-83.6002,180.0,top
C35,111.527538,-75.6244,180.0,top
C36,111.883926,-70.9244,90.0,top
C37,121.9,-70.9525,90.0,top
C38,120.1,-70.94,90.0,top
C39,118.0,-70.94,90.0,top
C40,116.273426,-65.5209,180.0,top
C41,107.283926,-66.2744,90.0,top
C44,109.333926,-66.2744,90.0,top
C45,111.343926,-66.2744,90.0,top
C46,113.383926,-66.2744,90.0,top
D11_9,57.122,-71.675,270.0,top
D11_8,54.9988,-114.2094,90.0,top
D11_7,115.9358,-97.3162,180.0,top
D11_6,55.471,-71.675,270.0,top
D11_5,52.2198,-71.61585,90.0,top
D11_4,56.6244,-114.24315,270.0,top
D11_3,53.3478,-114.2094,90.0,top
D11_2,58.25,-114.26855,270.0,top
D11,53.8454,-71.64125,90.0,top
D3,111.097,-81.2634,180.0,top
D4,105.8347,-85.6166,90.0,top
L11,107.904326,-70.962,180.0,top
R10,111.527538,-74.1244,0.0,top
R11,116.273426,-67.0209,180.0,top
R15_9,53.8962,-74.44785,90.0,top
R15_8,53.297,-111.4028,270.0,top
R15_7,58.1992,-111.46195,270.0,top
R15_6,57.1728,-74.4816,90.0,top
R15_5,56.5736,-111.43655,270.0,top
R15_4,52.2706,-74.42245,90.0,top
R15_3,54.948,-111.4028,270.0,top
R15_2,55.5218,-74.4816,90.0,top
R15,113.002,-96.7828,0.0,top
R21,110.1067,-92.18895,270.0,top
R4_2,113.38445,-86.62135,270.0,top
R4,115.940038,-74.1244,180.0,top
R5,115.940038,-75.6244,0.0,top
R6,119.623426,-67.0209,0.0,top
R7,119.623426,-65.5209,180.0,top
U14,70.3554,-102.6588,90.0,top
U4,113.393699,-90.0701,90.0,top
U7,114.615789,-70.8524,180.0,top
